onset	duration	route_number	destination	pic_num	segment	response	response_time	response_type	hits
1	5.2368	5	mail box	54	1	mail box	5.2368	target	1
6.2368	1.952	7	mail box	44	1	mail box	1.952	target	1
8.1888	1.9439	8	tree	64	1	mail box	1.9439	competitor	0
10.1327	1.6	6	tree	74	1	tree	1.6	target	1
11.7327	1.6001	8	tree	14	1	tree	1.6001	target	1
13.3327	2.8	7	mail box	24	1	mail box	2.8	target	1
16.1327	2.656	6	tree	14	1	mail box	2.656	competitor	0
18.7887	2.104	5	mail box	34	1	mail box	2.104	target	1
20.8927	3.664	6	tree	94	2	tree	3.664	target	1
24.5567	1.328	7	mail box	84	2	mail box	1.328	target	1
25.8847	1.464	8	tree	94	2	tree	1.464	target	1
27.3487	1.72	5	mail box	64	1	mail box	1.72	target	1
29.0687	1.8799	7	mail box	54	1	mail box	1.8799	target	1
30.9487	4.592	5	mail box	44	1	mail box	4.592	target	1
35.5407	1.552	6	tree	34	1	tree	1.552	target	1
37.0927	1.448	8	tree	24	1	mail box	1.448	competitor	0
38.5407	6.24	6	tree	84	2	mail box	6.24	competitor	0
44.7807	1.2721	8	tree	84	2	mail box	1.2721	competitor	0
46.0528	0.86391	7	mail box	64	1	mail box	0.86391	target	1
46.9167	1.4159	5	mail box	4	1	tree	1.4159	competitor	0
48.3326	1.08	8	tree	54	1	tree	1.08	target	1
49.4126	2.056	7	mail box	94	2	mail box	2.056	target	1
51.4686	2.264	5	mail box	74	1	mail box	2.264	target	1
53.7325	1.168	6	tree	44	1	mail box	1.168	competitor	0
54.9006	0.73595	8	tree	74	1	mail box	0.73595	competitor	0
55.6365	2.68	6	tree	24	1	mail box	2.68	competitor	0
58.3165	2.4639	7	mail box	34	1	mail box	2.4639	target	1
60.7805	1.4079	5	mail box	94	2	mail box	1.4079	target	1
62.1884	2.608	7	mail box	14	1	tree	2.608	competitor	0
64.7963	2.848	6	tree	54	1	mail box	2.848	competitor	0
67.6443	2.2639	5	mail box	24	1	tree	2.2639	competitor	0
69.9082	2.496	8	tree	34	1	mail box	2.496	competitor	0
72.4042	2.072	5	mail box	14	1	mail box	2.072	target	1
74.4762	5.7359	7	mail box	74	1	mail box	5.7359	target	1
80.2122	0.84799	6	tree	4	1	mail box	0.84799	competitor	0
81.0601	1.1199	8	tree	4	1	mail box	1.1199	competitor	0
82.1801	2.632	8	tree	44	1	mail box	2.632	competitor	0
84.812	1.92	6	tree	64	1	mail box	1.92	competitor	0
86.732	1.752	7	mail box	4	1	mail box	1.752	target	1
88.484	2.992	5	mail box	84	2	tree	2.992	competitor	0
